------- AERODYN v15.00.* BLADE DEFINITION INPUT FILE -------------------------------------
NREL 5 MW blade, 64 nodes, kynema/kynema-benchmarks 5MW_Baseline reference (BlSpn 0..61.4999 m)
======  Blade Properties =================================================================
         64   NumBlNds           - Number of blade nodes used in the analysis (-)
  BlSpn        BlCrvAC        BlSwpAC        BlCrvAng       BlTwist        BlChord          BlAFID    BlCb    BlCenBn    BlCenBt
   (m)           (m)            (m)            (deg)         (deg)           (m)              (-)     (-)     (m)        (m)
3.5142800E+01 -4.0101107E-02 -4.3369832E-01 0.0000000E+00 5.2772306E+00 3.4844320E+00         7    0.0     0.0       0.0
3.6118989E+01 -3.7440081E-02 -4.2657406E-01 0.0000000E+00 4.9979454E+00 3.4258607E+00         7    0.0     0.0       0.0
3.7095178E+01 -3.4779055E-02 -4.1944980E-01 0.0000000E+00 4.7186601E+00 3.3672893E+00         7    0.0     0.0       0.0
3.8071367E+01 -3.2118029E-02 -4.1232553E-01 0.0000000E+00 4.4393749E+00 3.3087180E+00         7    0.0     0.0       0.0
3.9047556E+01 -2.9503746E-02 -4.0519411E-01 0.0000000E+00 4.1627069E+00 3.2501467E+00         7    0.0     0.0       0.0
4.0023744E+01 -2.7310451E-02 -3.9799824E-01 0.0000000E+00 3.9096121E+00 3.1915753E+00         7    0.0     0.0       0.0
4.0999933E+01 -2.5117157E-02 -3.9080236E-01 0.0000000E+00 3.6565173E+00 3.1330040E+00         7    0.0     0.0       0.0
4.1976122E+01 -2.2923862E-02 -3.8360649E-01 0.0000000E+00 3.4034225E+00 3.0744327E+00         8    0.0     0.0       0.0
4.2952311E+01 -2.0730568E-02 -3.7641061E-01 0.0000000E+00 3.1503276E+00 3.0158613E+00         8    0.0     0.0       0.0
4.3928500E+01 -1.9111680E-02 -3.6916101E-01 0.0000000E+00 2.9522998E+00 2.9572900E+00         8    0.0     0.0       0.0
4.4904689E+01 -1.7556667E-02 -3.6190544E-01 0.0000000E+00 2.7603953E+00 2.8987187E+00         8    0.0     0.0       0.0
4.5880878E+01 -1.6001653E-02 -3.5464987E-01 0.0000000E+00 2.5684909E+00 2.8401473E+00         8    0.0     0.0       0.0
4.6857067E+01 -1.4446639E-02 -3.4739429E-01 0.0000000E+00 2.3765864E+00 2.7815760E+00         8    0.0     0.0       0.0
4.7833256E+01 -1.3047113E-02 -3.4012118E-01 0.0000000E+00 2.1868484E+00 2.7230047E+00         8    0.0     0.0       0.0
4.8809444E+01 -1.1714248E-02 -3.3284056E-01 0.0000000E+00 1.9980392E+00 2.6644333E+00         8    0.0     0.0       0.0
4.9785633E+01 -1.0381384E-02 -3.2555993E-01 0.0000000E+00 1.8092299E+00 2.6058620E+00         8    0.0     0.0       0.0
5.0761822E+01 -9.0485196E-03 -3.1827930E-01 0.0000000E+00 1.6204207E+00 2.5472907E+00         8    0.0     0.0       0.0
5.1738011E+01 -7.8067524E-03 -3.1098958E-01 0.0000000E+00 1.4313030E+00 2.4887196E+00         8    0.0     0.0       0.0
5.2714200E+01 -6.6561134E-03 -3.0369076E-01 0.0000000E+00 1.2418765E+00 2.4301489E+00         8    0.0     0.0       0.0
5.3690389E+01 -5.5054745E-03 -2.9639194E-01 0.0000000E+00 1.0524501E+00 2.3715781E+00         8    0.0     0.0       0.0
5.4666578E+01 -4.3548355E-03 -2.8909311E-01 0.0000000E+00 8.6302372E-01 2.3130073E+00         8    0.0     0.0       0.0
5.5642767E+01 -3.4009246E-03 -2.7896920E-01 0.0000000E+00 6.8694876E-01 2.2319379E+00         8    0.0     0.0       0.0
5.6618956E+01 -2.4470385E-03 -2.6884494E-01 0.0000000E+00 5.1087547E-01 2.1508656E+00         8    0.0     0.0       0.0
5.7595144E+01 -1.5870489E-03 -2.5479235E-01 0.0000000E+00 3.5115167E-01 2.0383794E+00         8    0.0     0.0       0.0
5.8571333E+01 -1.1028701E-03 -2.2501709E-01 0.0000000E+00 2.5686496E-01 1.8001626E+00         8    0.0     0.0       0.0
5.9547522E+01 -6.1869145E-04 -1.9524182E-01 0.0000000E+00 1.6257825E-01 1.5619458E+00         8    0.0     0.0       0.0
6.0523711E+01 -3.2815226E-04 -1.7737470E-01 0.0000000E+00 1.4408996E-03 1.3237255E+00         8    0.0     0.0       0.0
6.1499900E+01 -3.2815226E-04 -1.7737470E-01 0.0000000E+00 -2.6000000E-01 1.0855000E+00         8    0.0     0.0       0.0
