# ----- Rotor performance tables for the WEIS Turbine wind turbine ----- 
# ------------ Written on Aug-22-24 using the ROSCO toolbox ------------ 

# Pitch angle vector, 51 entries - x axis (matrix columns) (deg)
-5.0000    -3.8776    -2.7551    -1.6327    -0.5102     0.0000     0.6122     1.7347     2.8571     3.9796     5.1020     6.2245     7.3469     8.4694     9.5918    10.7143    11.8367    12.9592    14.0816    15.2041    16.3265    17.4490    18.5714    19.6939    20.8163    21.9388    23.0612    24.1837    25.3061    26.4286    27.5510    28.6735    29.7959    30.9184    32.0408    33.1633    34.2857    35.4082    36.5306    37.6531    38.7755    39.8980    41.0204    42.1429    43.2653    44.3878    45.5102    46.6327    47.7551    48.8776    50.0000   
# TSR vector, 50 entries - y axis (matrix rows) (-)
2.0000     2.4694     2.9388     3.4082     3.8776     4.3469     4.8163     5.2857     5.7551     6.2245     6.6939     7.1633     7.6327     8.1020     8.5714     9.0408     9.5102     9.9796    10.4490    10.9184    11.3878    11.8571    12.3265    12.7959    13.2653    13.7347    14.2041    14.6735    15.1429    15.6122    16.0816    16.5510    17.0204    17.4898    17.9592    18.4286    18.8980    19.3673    19.8367    20.3061    20.7755    21.2449    21.7143    22.1837    22.6531    23.1224    23.5918    24.0612    24.5306    25.0000    
# Wind speed vector - z axis (m/s)
12.5    

# Power coefficient

0.2371	0.3354	0.4066	0.4270	0.4256	0.4222	0.4171	0.4051	0.3902	0.3724	0.3521	0.3292	0.3040	0.2764	0.2464	0.2141	0.1796	0.1430	0.1043	0.0638	0.0216	-0.0222	-0.0677	-0.1146	-0.1626	-0.2108	-0.2584	-0.3049	-0.3512	-0.3975	-0.4387	-0.4853	-0.5278	-0.5533	-0.5864	-0.6297	-0.6799	-0.7352	-0.7943	-0.8558	-0.9185	-0.9810	-1.0424	-1.1021	-1.1594	-1.2142	-1.2664	-1.3161	-1.3636	-1.4092	-1.4532	
0.3237	0.4107	0.4382	0.4425	0.4399	0.4370	0.4324	0.4204	0.4047	0.3856	0.3631	0.3377	0.3091	0.2775	0.2432	0.2060	0.1661	0.1237	0.0790	0.0322	-0.0167	-0.0676	-0.1206	-0.1752	-0.2303	-0.2852	-0.3391	-0.3920	-0.4458	-0.4977	-0.5461	-0.6064	-0.6501	-0.6815	-0.7296	-0.7873	-0.8522	-0.9225	-0.9965	-1.0726	-1.1490	-1.2244	-1.2978	-1.3687	-1.4365	-1.5011	-1.5625	-1.6212	-1.6773	-1.7314	-1.7839	
0.3890	0.4237	0.4370	0.4446	0.4459	0.4446	0.4414	0.4310	0.4155	0.3957	0.3716	0.3434	0.3116	0.2760	0.2369	0.1944	0.1489	0.1005	0.0494	-0.0043	-0.0607	-0.1197	-0.1810	-0.2435	-0.3061	-0.3681	-0.4289	-0.4895	-0.5522	-0.6079	-0.6754	-0.7488	-0.7840	-0.8330	-0.8969	-0.9711	-1.0527	-1.1399	-1.2308	-1.3229	-1.4142	-1.5036	-1.5903	-1.6735	-1.7528	-1.8283	-1.9001	-1.9687	-2.0346	-2.0983	-2.1604	
0.3890	0.4092	0.4248	0.4371	0.4440	0.4449	0.4439	0.4369	0.4230	0.4028	0.3773	0.3468	0.3114	0.2716	0.2276	0.1797	0.1282	0.0734	0.0153	-0.0462	-0.1110	-0.1789	-0.2489	-0.3196	-0.3901	-0.4599	-0.5285	-0.5988	-0.6703	-0.7313	-0.8260	-0.8999	-0.9406	-1.0082	-1.0903	-1.1829	-1.2834	-1.3897	-1.4991	-1.6085	-1.7162	-1.8210	-1.9221	-2.0189	-2.1109	-2.1984	-2.2817	-2.3615	-2.4383	-2.5129	-2.5858	
0.3683	0.3886	0.4068	0.4226	0.4348	0.4384	0.4404	0.4376	0.4264	0.4070	0.3804	0.3475	0.3087	0.2646	0.2156	0.1620	0.1042	0.0423	-0.0237	-0.0938	-0.1679	-0.2454	-0.3244	-0.4038	-0.4829	-0.5614	-0.6390	-0.7211	-0.7998	-0.8776	-1.0011	-1.0596	-1.1217	-1.2091	-1.3113	-1.4245	-1.5464	-1.6739	-1.8032	-1.9315	-2.0570	-2.1787	-2.2957	-2.4073	-2.5132	-2.6139	-2.7100	-2.8022	-2.8912	-2.9779	-3.0630	
0.3418	0.3645	0.3851	0.4041	0.4201	0.4259	0.4309	0.4334	0.4258	0.4079	0.3808	0.3457	0.3036	0.2551	0.2008	0.1412	0.0766	0.0070	-0.0678	-0.1475	-0.2318	-0.3192	-0.4077	-0.4963	-0.5851	-0.6731	-0.7617	-0.8570	-0.9410	-1.0543	-1.1939	-1.2416	-1.3280	-1.4372	-1.5616	-1.6980	-1.8436	-1.9941	-2.1452	-2.2940	-2.4389	-2.5790	-2.7132	-2.8409	-2.9620	-3.0773	-3.1875	-3.2934	-3.3961	-3.4963	-3.5949	
0.3107	0.3367	0.3608	0.3826	0.4019	0.4094	0.4169	0.4241	0.4208	0.4055	0.3785	0.3416	0.2962	0.2432	0.1834	0.1174	0.0453	-0.0330	-0.1174	-0.2077	-0.3027	-0.4004	-0.4989	-0.5979	-0.6974	-0.7958	-0.8977	-1.0064	-1.0960	-1.2559	-1.3857	-1.4498	-1.5608	-1.6937	-1.8428	-2.0052	-2.1769	-2.3523	-2.5268	-2.6978	-2.8640	-3.0241	-3.1770	-3.3222	-3.4600	-3.5912	-3.7168	-3.8380	-3.9556	-4.0708	-4.1845	
0.2757	0.3056	0.3334	0.3589	0.3811	0.3899	0.3992	0.4105	0.4116	0.3995	0.3735	0.3351	0.2864	0.2288	0.1633	0.0903	0.0100	-0.0779	-0.1729	-0.2745	-0.3808	-0.4893	-0.5986	-0.7090	-0.8203	-0.9303	-1.0482	-1.1694	-1.2696	-1.4859	-1.5909	-1.6848	-1.8213	-1.9802	-2.1570	-2.3481	-2.5480	-2.7502	-2.9501	-3.1453	-3.3344	-3.5162	-3.6894	-3.8535	-4.0094	-4.1580	-4.3007	-4.4385	-4.5726	-4.7043	-4.8346	
0.2361	0.2711	0.3033	0.3325	0.3580	0.3681	0.3790	0.3936	0.3986	0.3899	0.3656	0.3261	0.2743	0.2120	0.1404	0.0598	-0.0297	-0.1280	-0.2345	-0.3481	-0.4661	-0.5861	-0.7073	-0.8304	-0.9543	-1.0776	-1.2138	-1.3458	-1.4722	-1.7430	-1.8208	-1.9470	-2.1108	-2.2985	-2.5059	-2.7284	-2.9587	-3.1897	-3.4170	-3.6384	-3.8524	-4.0575	-4.2525	-4.4372	-4.6128	-4.7804	-4.9416	-5.0976	-5.2499	-5.3997	-5.5483	
0.1934	0.2330	0.2699	0.3035	0.3327	0.3442	0.3566	0.3741	0.3821	0.3769	0.3547	0.3148	0.2599	0.1927	0.1145	0.0256	-0.0740	-0.1836	-0.3024	-0.4286	-0.5590	-0.6912	-0.8254	-0.9626	-1.1000	-1.2388	-1.3949	-1.5358	-1.7147	-2.0010	-2.0789	-2.2371	-2.4305	-2.6502	-2.8913	-3.1477	-3.4108	-3.6727	-3.9295	-4.1792	-4.4200	-4.6503	-4.8687	-5.0757	-5.2726	-5.4609	-5.6422	-5.8181	-5.9901	-6.1598	-6.3283	
